id,empresa
1,VERTICAL DE AVIACION S A S
2,HELICOL
3,AERO TAXI GUAYMARAL ATG S.A.S
4,AIR COLOMBIA
5,CHARTER DEL CARIBE S.A.
6,ALIANSA
7,SEARCA S.A.
8,AEROMENEGUA
9,ANDES LINEAS AEREAS S.A.
10,AEROEXPRESO DEL PACIFICO S.A.
11,TAERCO
12,TAMPA CARGO S.A.
13,CENTURION AIR CARGO COLOMBIA
14,TAXCO
15,TAC
16,AEROSUCRE
17,CONDOR
18,LASER AEREO S.A.S
19,HELI JET SAS
20,SAER
21,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA
22,SELVA
23,ALPES S.A.S
24,LOS HALCONES
25,RIO SUR
26,FLEXAIR S A S
27,NACIONAL DE AVIACION S.A.S
28,HORIZONTAL S A S
29,AEROCHARTER ANDINA S.A.S.
30,CENTRAL CHARTER
31,CHARTER EXPRESS SAS
32,LAS
33,AEROEJECUTIVOS DE ANTIOQUIA S.A.
34,AEROLINEA DE ANTIOQUIA S.A.
35,EASYFLY S.A
36,AVIOCESAR
37,AEROLINEAS ALAS DE COLOMBIA LTDA.
38,AEROGALAN
39,AIR SIGNATURE S.A.S
40,KLM
41,TRANSPACIFICOS
42,FLORIDA WEST INTERNATIONAL AIRWAYS INC.
43,LLANERA DE AVIACION
44,AEROLINEAS LLANERAS ARALL LTDA.
45,AVIOICHARTER LIMITADA
46,FAST COLOMBIA SAS
47,AMERICAÂ´S AIR SAS
48,AEROPACA SAS
49,SOLAIR S.A.S
50,"DYNAMIC AIRWAYS, LLC (WINSTON-SALEM,NC)"
51,SADELCA
52,MARTINAIR
53,SARPA S.A.S
54,LÃNEA AÃ‰REA CARGUERA DE COLOMBIA S.A.
55,SAVIARE LTDA
56,TAXCO S.A.S
57,TARI
58,INTEREJECUTIVA
59,NO FIGURA
60,AEROCOL S.A.S
61,MAS AIR
62,AEROREPUBLICA
63,SKY LEASE I. INC (GREENSBORO.NC)
64,HELISTAR S.A.S
65,TACA S.A.S
66,AERO SERVICIOS ESPECIALIZADOS ASES LTDA.
67,ALLAS S.A.S
68,ARO LTDA
69,TAXI AEREO CUSIANA LTDA
70,AEROMEL LTDA
71,AER CARIBE LIMITADA
72,HELIGOLFO S.A.S
73,ARKAS S.A.
74,COPA
75,AERUPIA SAS
76,AERO APOYO
77,LANS S.A.S
78,COSMOS S.A.
79,PETROLEUM
80,VIAS AEREAS NACIONALES VIANA S.A.S.
81,AIRES
82,SAM
83,C.V. CARGO
84,HELIFLY
85,PACIFICA DE AVIACION S.A.S
86,AVIANCA
